m,k,n,latency_us,mfu
4096,4096,2048,303.436,0.725869
8192,4096,2048,557.93,0.789543
16384,4096,2048,1172.406,0.751462
32768,4096,2048,2374.454,0.742081
1,4096,4096,29.66,0.003626
2,4096,4096,29.766,0.007226
4,4096,4096,30.155,0.014266
8,4096,4096,30.121,0.028564
16,4096,4096,30.614,0.056207
32,4096,4096,31.801,0.108219
64,4096,4096,33.691,0.204295
128,4096,4096,40.424,0.34054
256,4096,4096,64.19,0.42891
512,4096,4096,98.294,0.560191
1024,4096,4096,194.556,0.566043
2048,4096,4096,290.171,0.759051
4096,4096,4096,585.275,0.752654
8192,4096,4096,1210.421,0.727862
16384,4096,4096,2450.11,0.719167
32768,4096,4096,4897.604,0.719551
1,4096,8192,58.925,0.00365
2,4096,8192,59.081,0.007281
4,4096,8192,59.125,0.014552
8,4096,8192,59.543,0.028899
16,4096,8192,60.339,0.057036
32,4096,8192,59.094,0.116475
64,4096,8192,60.295,0.228309
128,4096,8192,72.029,0.382232
256,4096,8192,134.428,0.409615
512,4096,8192,200.401,0.549536
1024,4096,8192,312.427,0.704979
2048,4096,8192,607.657,0.724932
4096,4096,8192,1189.806,0.740473
8192,4096,8192,2405.108,0.732623
16384,4096,8192,4836.977,0.72857
32768,4096,8192,9645.515,0.730718
1,4096,14336,106.495,0.003535
2,4096,14336,107.503,0.007003
4,4096,14336,108.469,0.013881
